Automobile	Y	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11
Apollo	18.90	350.0	165	260	8.00	2.56	4	3	200.3	69.9	3910	A
Nova	20.00	250.0	105	185	8.25	2.73	1	3	196.7	72.2	3510	A
Monareh	18.25	351.0	143	255	8.00	3.00	2	3	199.9	74.0	3890	A
Duster	20.07	225.0	95	170	8.40	2.76	1	3	194.1	71.8	3365	M
JensonConv.	11.20	440.0	215	330	8.20	2.88	4	3	184.5	69.0	4215	A
Skyhawk	22.12	231.0	110	175	8.00	2.56	2	3	179.3	65.4	3020	A
Scirocco	34.70	89.7	70	81	8.20	3.90	2	4	155.7	64.0	1905	M
CorollaSR-5	30.40	96.9	75	83	9.00	4.30	2	5	165.2	65.0	2320	M
Cámaro	16.50	350.0	155	250	8.50	3.08	4	3	195.4	74.4	3885	A
DatsunB210	36.50	85.3	80	83	8.50	3.89	2	4	160.6	62.2	2009	M
CapriII	21.50	171.0	109	146	8.20	3.22	2	4	170.4	66.9	2655	M
Pacer	19.70	258.0	110	195	8.00	3.08	1	3	171.5	77.0	3375	A
Granada	17.80	302.0	129	220	8.00	3.00	2	3	199.9	74.0	3890	A
Eldorado	14.39	500.0	190	360	8.50	2.73	4	3	224.1	79.8	5290	A
Imperial	14.89	440.0	215	330	8.20	2.71	4	3	231.0	79.7	5185	A
NovaLN	17.80	350.0	155	250	8.50	3.08	4	3	196.7	72.2	3910	A
Starfire	23.54	231.0	110	175	8.00	2.56	2	3	179.3	65.4	3050	A
Córdoba	21.47	360.0	180	290	8.40	2.45	2	3	214.2	76.3	4250	A
CorollaE-5	31.90	96.9	75	83	9.00	4.30	2	5	165.2	61.8	2275	M
MarkIV	13.27	460.0	223	366	8.00	3.00	4	3	228.0	79.8	5430	A
CélicaGT	23.90	133.6	96	120	8.40	3.91	2	5	171.5	63.4	2535	M
ChargerSE	19.73	318.0	140	255	8.50	2.71	2	3	215.3	76.3	4370	A
Cougar	13.90	351.0	148	243	8.00	3.25	2	3	215.5	78.5	4540	A
Corvette	16.50	350.0	165	255	8.50	2.73	4	3	185.2	69.0	3660	A

